CCLE Cell Line Name,17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,LBW242,Lapatinib,Nilotinib,Nutlin-3,PD-0325901,PD-0332991,PF2341066,PHA-665752,PLX4720,Paclitaxel,Panobinostat,RAF265,Sorafenib,TAE684,TKI258,Topotecan,ZD-6474
1321N1_CENTRAL_NERVOUS_SYSTEM,3.03,0.71,1.64,0.12,0.25,,0.21,0.25,0.11,,0.21,0.65,,0.29,0.09,0.26,5.65,3.87,1.08,0.27,1.35,1.44,4.00,1.02
22RV1_PROSTATE,3.06,1.67,0.62,2.81,0.24,4.39,0.08,0.49,0.52,0.13,0.79,2.84,0.63,0.85,0.92,0.93,5.73,5.10,0.89,0.80,1.37,0.84,3.85,0.48
42MGBA_CENTRAL_NERVOUS_SYSTEM,5.06,1.19,1.91,1.31,0.87,,1.14,1.38,0.66,,0.86,1.29,,0.96,1.08,1.49,5.95,4.30,,1.19,1.78,1.84,5.26,2.90
5637_URINARY_TRACT,3.54,0.99,0.85,0.59,1.92,3.36,0.17,0.28,1.09,0.53,0.00,0.94,0.00,0.19,0.00,0.52,7.02,3.61,1.62,0.79,1.17,0.68,3.50,0.86
639V_URINARY_TRACT,3.78,1.54,1.21,1.15,0.29,4.57,0.38,0.02,0.14,0.59,0.22,2.22,0.75,0.97,0.37,0.08,5.57,4.03,1.23,0.42,1.34,1.35,4.46,1.78
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.66,1.77,1.85,2.54,1.64,5.52,3.64,1.44,1.56,2.11,2.77,2.59,2.46,2.07,1.88,1.52,7.80,5.98,3.42,1.82,3.22,2.63,5.37,2.05
769P_KIDNEY,2.96,1.44,2.17,0.63,1.89,1.88,0.06,0.64,1.56,0.76,0.71,1.95,0.94,0.29,0.67,0.34,4.09,3.52,2.14,0.11,0.72,0.92,3.17,1.27
786O_KIDNEY,3.30,0.60,0.42,0.31,0.08,3.09,0.00,0.01,1.04,0.54,0.04,1.02,0.00,0.55,0.36,,3.52,3.11,1.50,0.55,0.50,0.85,3.37,
8305C_THYROID,3.52,1.29,1.11,2.40,0.46,2.89,0.54,1.15,0.54,0.92,0.95,3.45,1.48,0.91,0.70,2.08,5.35,4.72,2.29,0.67,1.60,0.87,4.07,1.49
8505C_THYROID,3.68,0.32,0.05,1.55,0.08,3.82,0.41,0.06,0.25,0.60,0.02,2.74,0.09,0.29,0.00,0.40,5.47,4.29,1.91,0.47,0.66,0.66,3.90,0.21
8MGBA_CENTRAL_NERVOUS_SYSTEM,3.58,1.50,1.19,0.12,0.52,,0.12,4.98,0.72,,0.84,0.53,,0.53,2.56,0.23,6.95,3.98,,0.17,1.52,1.68,3.64,1.66
A172_CENTRAL_NERVOUS_SYSTEM,2.47,0.36,0.25,0.24,0.08,2.52,0.03,0.10,0.00,0.00,0.21,0.54,0.00,0.50,0.09,0.01,4.62,4.01,1.37,0.28,1.40,1.16,2.65,1.01
A204_SOFT_TISSUE,3.57,0.55,0.71,0.12,0.37,2.87,0.29,0.30,0.35,1.73,0.36,0.59,0.83,0.55,0.65,0.05,4.35,3.62,2.27,2.09,1.29,2.27,2.59,0.97
A2058_SKIN,4.75,1.00,0.79,1.82,0.00,3.59,0.06,1.20,0.12,0.02,0.11,2.45,0.00,0.52,0.20,0.71,7.17,4.37,0.92,0.05,0.88,0.86,3.15,1.35
A253_SALIVARY_GLAND,3.71,0.64,1.35,1.55,0.86,,0.17,0.69,0.82,0.28,0.61,1.38,0.01,0.36,0.25,0.12,5.65,4.41,1.46,0.44,0.74,0.46,4.61,1.29
A2780_OVARY,4.76,0.67,0.37,2.53,0.22,4.44,0.77,0.34,0.62,0.42,1.00,3.60,0.68,1.36,0.04,0.38,6.52,4.51,2.06,0.99,1.91,1.84,4.65,1.34
A375_SKIN,3.56,1.45,0.91,3.30,0.29,3.93,0.02,0.10,0.15,0.52,0.45,4.81,0.20,0.72,0.41,2.96,6.09,4.64,2.25,0.61,1.87,1.09,3.20,0.81
A549_LUNG,2.97,1.64,0.50,1.86,0.49,1.71,0.00,0.28,0.67,0.67,0.48,3.11,0.24,0.47,0.09,0.00,4.98,3.70,1.43,0.65,1.33,1.26,1.87,0.44
A673_BONE,3.68,1.60,0.94,1.38,0.10,,0.25,1.06,0.01,,0.59,0.62,0.25,1.61,0.10,0.79,7.02,4.71,1.96,0.30,1.73,0.73,5.49,1.41
