100652850_at,10161_at,10551_at,10974_at,116496_at,154_at,1823_at,1825_at,1960_at,200844_at,2294_at,284_at,355_at,3823_at,388692_at,4016_at,4060_at,4935_at,49854_at,51226_at,51260_at,51566_at,5447_at,54495_at,55106_at,55619_at,5588_at,55906_at,56122_at,5698_at,57291_at,576_at,5935_at,7068_at,79746_at,90141_at,90523_at,90632_at,91607_at,9609_at,label
7.87,4.36,3.77,4.07,9.68,8.44,3.62,3.63,4.15,3.39,4.05,6.34,8.04,3.90,6.05,8.91,5.89,4.20,8.53,9.27,10.32,8.08,7.68,8.93,8.00,7.66,4.16,7.70,7.53,5.54,9.63,5.42,7.68,5.62,4.56,8.72,4.19,3.96,9.07,4.86,0.00
8.24,4.32,8.80,11.68,7.17,8.70,3.61,3.58,4.02,5.94,3.97,3.93,7.32,3.30,5.61,6.85,4.84,4.59,8.10,6.13,9.48,8.99,8.32,9.69,4.63,3.92,4.26,7.45,4.68,4.95,10.89,6.10,8.74,7.36,6.88,8.96,3.79,3.94,7.26,5.72,1.00
7.77,5.56,4.16,4.19,9.38,6.47,3.77,3.63,4.83,3.55,6.06,10.01,7.87,3.49,6.36,12.33,10.73,4.05,10.14,7.98,9.67,9.28,7.15,9.62,7.64,7.91,5.37,7.28,6.99,8.96,10.25,6.03,8.05,6.87,4.21,9.29,3.77,3.85,8.37,4.98,0.00
6.18,6.05,5.53,9.74,9.19,11.17,3.81,5.20,3.87,5.32,3.95,3.88,7.22,3.62,5.69,7.42,3.51,6.24,7.65,6.76,9.96,8.61,7.82,8.68,7.55,4.96,6.10,8.42,4.41,10.24,9.61,6.16,8.05,6.16,4.38,8.49,4.28,3.94,4.79,5.29,1.00
6.63,5.24,3.86,9.62,8.24,5.28,3.97,3.78,5.77,4.17,4.00,4.00,6.15,3.55,6.64,3.60,3.57,3.82,8.97,8.08,10.64,7.91,8.17,9.92,8.23,3.97,6.91,7.26,4.15,9.26,11.00,6.46,8.56,4.75,4.14,7.92,3.90,4.13,8.84,5.69,1.00
7.55,8.14,3.32,4.66,3.78,4.72,4.01,3.88,3.64,4.51,4.26,4.29,5.13,3.46,4.93,3.51,3.75,4.06,8.94,5.88,5.53,8.03,6.50,9.28,4.43,10.79,7.70,8.23,3.75,10.54,11.06,5.63,9.40,5.11,4.77,7.48,5.10,4.16,9.36,4.29,1.00
7.41,5.06,3.91,7.50,10.02,11.10,3.66,7.05,3.76,4.31,6.27,7.01,8.82,3.46,5.33,6.51,3.69,4.18,9.35,7.14,10.36,9.61,6.68,10.40,8.79,8.00,4.04,5.85,5.32,8.22,8.92,4.92,9.14,5.06,6.37,8.99,3.74,5.60,8.98,5.68,1.00
10.04,4.43,3.45,4.33,10.39,5.02,3.67,3.50,4.18,5.35,4.44,10.01,8.38,6.61,7.34,10.99,12.05,3.94,8.63,8.21,9.55,9.51,6.87,9.30,8.18,8.37,4.08,5.99,3.56,11.22,9.98,5.60,8.18,8.84,3.72,8.14,3.95,3.77,8.94,5.16,0.00
7.51,7.50,3.51,4.26,10.44,5.41,3.40,3.76,7.20,5.15,4.00,8.97,7.29,3.57,6.35,3.35,7.42,3.68,8.08,8.76,9.16,8.32,6.39,10.17,7.13,7.49,4.05,4.62,3.78,7.77,10.78,6.83,8.13,5.87,6.87,7.64,5.35,8.05,3.34,5.41,1.00
8.80,9.63,7.54,8.15,10.11,9.38,3.93,10.38,3.68,7.83,6.02,4.91,6.39,3.38,6.17,7.13,3.29,4.05,8.78,8.76,9.42,4.07,7.09,3.89,7.30,3.78,6.24,4.44,6.76,9.43,10.13,5.06,8.99,6.80,4.26,8.56,3.73,4.01,6.64,6.21,0.00
6.34,3.59,3.54,4.18,5.94,4.72,5.74,3.63,5.07,3.61,4.07,6.59,7.54,3.28,6.67,3.34,6.99,3.82,8.91,4.99,10.28,9.02,8.26,9.77,4.23,4.30,4.33,7.69,4.18,11.33,10.26,6.77,8.47,4.88,4.32,8.93,4.80,4.03,3.49,5.72,1.00
6.89,7.47,3.72,4.42,9.20,6.74,3.64,4.58,8.43,4.48,6.04,8.16,7.62,3.77,7.45,3.10,5.96,3.63,7.76,8.52,9.73,7.44,7.50,8.83,7.82,4.80,5.60,5.96,4.63,8.58,11.01,5.84,8.99,6.66,4.13,8.69,3.52,7.86,6.90,6.03,1.00
